Account_Id,Trans_Id,Age,Followers,NAME_CONTRACT_TYPE,GENDER,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_FAMILY_STATUS,Label,results
172.217.12.206-10.42.0.151-443-41753-6,100068,40,2429,Revolving loans,M,81000.0,247500.0,12375.0,247500.0,Working,Married,1,1
10.42.0.211-121.12.98.62-47804-80-6,100069,27,3687,Cash loans,M,360000.0,640458.0,27265.5,517500.0,Working,Separated,0,0
10.42.0.151-101.226.103.112-34762-80-6,100070,40,1680,Cash loans,M,540000.0,1227901.5,46899.0,1129500.0,Working,Widow,1,1
172.217.10.67-10.42.0.151-443-50727-6,100071,50,9290,Cash loans,F,180000.0,1663987.5,86989.5,1588500.0,Commercial associate,Married,0,0
10.42.0.151-54.192.38.230-41259-443-6,100072,25,250,Cash loans,M,180000.0,1080000.0,44118.0,1080000.0,Working,Single / not married,0,0
222.73.28.96-10.42.0.211-80-36911-6,100073,28,27065,Cash loans,M,324000.0,1130760.0,40189.5,810000.0,Pensioner,Civil marriage,0,0
180.76.151.225-10.42.0.42-80-51631-6,100075,35,1090,Cash loans,F,112500.0,95940.0,10462.5,90000.0,Working,Single / not married,0,0
203.205.151.47-10.42.0.151-80-34427-6,100076,34,250,Cash loans,M,180000.0,315000.0,9679.5,315000.0,Commercial associate,Married,1,1
10.42.0.42-113.108.216.233-44480-80-6,100077,31,915,Cash loans,M,180000.0,1256400.0,40657.5,900000.0,Commercial associate,Single / not married,0,0
10.42.0.211-10.42.0.1-26725-53-17,100078,27,4460,Cash loans,F,180000.0,1035000.0,43983.0,1035000.0,State servant,Married,1,1
10.42.0.1-10.42.0.42-53-28340-17,100079,27,1806,Revolving loans,M,225000.0,270000.0,13500.0,270000.0,Working,Separated,1,1
8.0.6.4-8.6.0.1-0-0-0,100080,30,10031,Revolving loans,F,157500.0,450000.0,22500.0,450000.0,Commercial associate,Civil marriage,1,1
10.42.0.211-123.125.115.164-46706-443-6,100081,30,1410,Cash loans,M,180000.0,450000.0,21109.5,450000.0,Commercial associate,Civil marriage,0,0
172.217.12.142-10.42.0.211-443-58864-6,100082,50,250,Cash loans,M,180000.0,450000.0,21109.5,450000.0,Commercial associate,Married,0,0
172.217.12.194-10.42.0.211-443-37446-6,100083,34,250,Cash loans,M,103500.0,573628.5,24435.0,463500.0,Working,Married,0,0
10.42.0.211-10.42.0.1-18795-53-17,100084,41,5335,Cash loans,M,225000.0,495351.0,26140.5,459000.0,Working,Separated,0,0
10.42.0.42-123.125.29.138-42230-443-6,100085,32,1470,Cash loans,M,157500.0,755190.0,28894.5,675000.0,Working,Married,0,0
157.55.56.174-10.42.0.42-40022-46360-17,100086,50,3880,Cash loans,F,135000.0,675000.0,21775.5,675000.0,Commercial associate,Widow,0,0
198.11.136.24-10.42.0.42-443-44354-6,100087,38,1025,Cash loans,F,202500.0,1288350.0,37800.0,1125000.0,Working,Married,1,1
10.42.0.211-10.42.0.1-62939-53-17,100088,29,1950,Revolving loans,F,112500.0,135000.0,6750.0,135000.0,Commercial associate,Married,0,0
216.58.219.196-10.42.0.42-443-45664-6,100089,35,1090,Cash loans,M,135000.0,337761.0,15781.5,256500.0,Working,Civil marriage,0,0
10.42.0.211-10.42.0.1-35511-53-17,100093,25,1550,Cash loans,F,94500.0,585000.0,28273.5,585000.0,Working,Married,0,0
10.42.0.211-106.39.162.36-47297-80-6,100094,30,1300,Cash loans,F,108000.0,113760.0,5301.0,90000.0,Pensioner,Single / not married,1,1
172.217.10.10-10.42.0.151-443-51360-6,100095,47,1200,Revolving loans,F,67500.0,135000.0,6750.0,135000.0,Working,Married,1,1
172.217.10.42-10.42.0.211-443-50132-6,100096,35,1902,Cash loans,F,81000.0,252000.0,14593.5,252000.0,Pensioner,Married,1,1
183.79.249.124-10.42.0.151-443-44500-6,100097,25,50,Cash loans,M,157500.0,760225.5,30280.5,679500.0,Working,Married,0,0
10.42.0.151-10.42.0.1-23638-53-17,100098,36,1300,Revolving loans,M,225000.0,270000.0,13500.0,270000.0,Working,Civil marriage,1,1
10.42.0.151-115.239.210.141-53921-80-6,100099,29,1780,Cash loans,F,360000.0,733315.5,41076.0,679500.0,Pensioner,Separated,1,1
180.76.141.48-10.42.0.151-80-43415-6,100100,42,1910,Cash loans,M,202500.0,796396.5,38443.5,643500.0,Working,Married,0,0
203.205.147.229-10.42.0.151-80-50839-6,100101,28,1270,Cash loans,F,202500.0,343377.0,22072.5,283500.0,State servant,Single / not married,0,0
219.142.78.162-10.42.0.211-80-54632-6,100102,39,5367,Cash loans,F,126000.0,327024.0,10264.5,270000.0,Working,Single / not married,1,1
192.229.173.173-10.42.0.42-80-55313-6,100103,32,4040,Cash loans,F,72000.0,450000.0,16965.0,450000.0,Working,Married,0,0
203.205.179.172-10.42.0.151-80-44515-6,100104,31,250400,Cash loans,F,90000.0,547344.0,30690.0,472500.0,Working,Married,0,0
172.217.10.238-10.42.0.211-443-44219-6,100105,20,50550,Cash loans,F,193500.0,225000.0,23755.5,225000.0,Working,Married,0,0
182.22.25.252-10.42.0.151-80-47256-6,100108,34,2376,Cash loans,F,171000.0,545040.0,31288.5,450000.0,Working,Married,0,0
10.42.0.211-66.198.24.250-35798-443-6,100110,46,640,Cash loans,M,135000.0,373140.0,25065.0,337500.0,Commercial associate,Married,0,0
10.42.0.211-106.11.92.16-58498-443-6,100111,47,1662,Cash loans,F,112500.0,862560.0,27954.0,720000.0,Commercial associate,Married,0,0
172.217.9.227-10.42.0.151-443-52845-6,100112,44,1662,Cash loans,M,315000.0,953460.0,64107.0,900000.0,Commercial associate,Single / not married,0,0
10.42.0.42-52.88.110.117-57651-443-6,100113,31,1088,Cash loans,M,76500.0,135000.0,6696.0,135000.0,Working,Single / not married,1,1
10.42.0.211-64.4.23.155-60774-40019-17,100114,23,1250,Cash loans,F,135000.0,284400.0,22599.0,225000.0,Commercial associate,Single / not married,1,1
10.42.0.211-65.55.118.92-33453-80-6,100115,33,1090,Cash loans,F,90000.0,315000.0,14683.5,315000.0,Working,Married,1,1
10.42.0.211-10.42.0.1-8663-53-17,100116,41,1640,Cash loans,F,243000.0,900000.0,32017.5,900000.0,Working,Married,0,0
10.42.0.211-10.42.0.1-52178-53-17,100118,60,800,Cash loans,F,90000.0,675000.0,26541.0,675000.0,Pensioner,Widow,1,1
10.42.0.211-66.198.24.250-44109-443-6,100119,31,2180,Revolving loans,F,54000.0,180000.0,9000.0,180000.0,Working,Married,0,0
10.42.0.151-54.239.17.113-58517-443-6,100120,37,1640,Cash loans,F,135000.0,781920.0,28215.0,675000.0,Working,Married,0,0
10.42.0.211-63.251.88.56-45837-443-6,100121,39,1380,Cash loans,M,126000.0,787131.0,26145.0,679500.0,Working,Married,1,1
172.217.6.234-10.42.0.211-443-53614-6,100122,40,2180,Cash loans,F,76500.0,808650.0,26217.0,675000.0,Commercial associate,Married,1,1
10.42.0.1-10.42.0.42-53-45321-17,100123,42,1550,Cash loans,F,103500.0,675000.0,19737.0,675000.0,Working,Widow,1,1
172.217.6.202-10.42.0.151-443-60794-6,100124,35,2070,Cash loans,M,225000.0,448272.0,28647.0,396000.0,Pensioner,Widow,1,1
172.217.6.206-10.42.0.151-443-36065-6,100125,41,250,Cash loans,F,126000.0,263686.5,26208.0,238500.0,Pensioner,Married,1,1
172.217.10.110-10.42.0.151-443-38248-6,100126,23,250,Revolving loans,M,135000.0,180000.0,9000.0,180000.0,Working,Married,0,0
10.42.0.211-10.42.0.1-1369-53-17,100127,31,1040,Cash loans,M,112500.0,52128.0,5341.5,45000.0,Pensioner,Married,1,1
203.205.158.53-10.42.0.151-80-52191-6,100129,42,2180,Revolving loans,F,85500.0,135000.0,6750.0,135000.0,Working,Married,0,0
180.214.225.197-10.42.0.211-2834-60774-17,100130,29,1240,Cash loans,F,157500.0,723996.0,30802.5,585000.0,Commercial associate,Separated,0,0
10.42.0.151-91.190.219.146-51308-443-6,100131,30,1380,Cash loans,F,270000.0,891072.0,45625.5,720000.0,Commercial associate,Single / not married,0,0
192.229.173.173-10.42.0.42-80-55314-6,100132,41,1285,Cash loans,F,202500.0,1136439.0,73611.0,1089000.0,Commercial associate,Widow,0,0
10.42.0.1-10.42.0.42-53-17914-17,100133,40,4665,Cash loans,F,67500.0,384048.0,18810.0,270000.0,Working,Civil marriage,1,1
183.79.248.124-10.42.0.211-443-40429-6,100134,34,1090,Revolving loans,F,202500.0,180000.0,9000.0,180000.0,Commercial associate,Married,0,0
10.42.0.211-52.84.136.193-58208-443-6,100135,31,3000,Cash loans,M,135000.0,391194.0,26271.0,319500.0,Commercial associate,Married,0,0
10.42.0.42-98.137.201.232-43784-443-6,100136,27,2045,Cash loans,M,157500.0,1571931.0,49356.0,1435500.0,State servant,Married,0,0
203.205.151.47-10.42.0.151-80-38354-6,100137,30,3294,Cash loans,F,225000.0,891072.0,45625.5,720000.0,Pensioner,Married,0,0
10.42.0.151-121.12.98.64-33799-80-6,100138,27,3480,Cash loans,M,135000.0,824823.0,29223.0,688500.0,Pensioner,Married,0,0
10.42.0.211-104.69.158.16-50404-443-6,100139,36,2856,Cash loans,F,157500.0,302341.5,24016.5,261000.0,Working,Married,1,1
199.59.148.73-10.42.0.151-443-46743-6,100140,35,600,Revolving loans,F,157500.0,675000.0,33750.0,675000.0,Commercial associate,Married,1,1
10.42.0.211-10.42.0.1-32495-53-17,100142,34,2340,Cash loans,M,360000.0,579195.0,27994.5,468000.0,State servant,Civil marriage,0,0
10.42.0.42-54.230.38.132-57122-443-6,100143,37,2340,Revolving loans,M,162000.0,270000.0,13500.0,270000.0,State servant,Married,1,1
10.42.0.211-10.42.0.1-39375-53-17,100144,27,2340,Cash loans,F,112500.0,535500.0,30028.5,535500.0,Working,Separated,0,0
172.217.12.170-10.42.0.151-443-36071-6,100145,47,2340,Cash loans,F,202500.0,260725.5,16789.5,198000.0,Working,Separated,1,1
10.42.0.151-10.42.0.1-20479-53-17,100146,28,1940,Cash loans,M,117000.0,327024.0,12456.0,270000.0,Pensioner,Married,1,1
10.42.0.42-64.71.142.125-54720-443-6,100147,40,1940,Cash loans,F,135000.0,518562.0,22099.5,463500.0,Working,Married,0,0
10.42.0.42-64.71.142.124-57153-80-6,100148,30,2210,Cash loans,F,247500.0,755190.0,36459.0,675000.0,Commercial associate,Married,0,0
203.205.158.63-10.42.0.211-80-51833-6,100149,38,1370,Cash loans,M,171000.0,539590.5,26374.5,445500.0,Working,Married,0,0
172.217.10.78-10.42.0.151-443-38588-6,100151,30,4530,Cash loans,M,135000.0,182016.0,11772.0,144000.0,Commercial associate,Single / not married,1,1
172.217.10.10-10.42.0.151-443-56757-6,100152,28,600,Cash loans,F,157500.0,254412.0,9720.0,166500.0,Working,Married,1,1
172.217.11.46-10.42.0.151-443-58290-6,100153,28,1210,Cash loans,M,202500.0,1107981.0,32526.0,967500.0,Working,Married,0,0
172.217.10.131-10.42.0.151-443-54171-6,100154,35,1540,Revolving loans,M,144000.0,180000.0,9000.0,180000.0,Working,Married,0,0
10.42.0.151-10.42.0.1-60174-53-17,100155,32,1090,Cash loans,M,157500.0,675000.0,21906.0,675000.0,Working,Married,0,0
10.42.0.211-104.192.110.245-33455-80-6,100156,36,1517,Cash loans,F,157500.0,945000.0,39127.5,945000.0,Commercial associate,Married,0,0
172.217.10.142-10.42.0.151-443-38828-6,100157,24,2900,Cash loans,M,180000.0,1755000.0,61132.5,1755000.0,Working,Married,0,0
10.42.0.211-113.108.216.233-57459-80-6,100158,27,1090,Cash loans,M,180000.0,590337.0,27486.0,477000.0,Commercial associate,Married,0,0
157.56.52.23-10.42.0.42-40033-57785-6,100159,34,2288,Cash loans,F,225000.0,1515415.5,41800.5,1354500.0,Commercial associate,Married,0,0
10.42.0.1-10.42.0.42-53-40823-17,100160,31,600,Cash loans,M,292500.0,675000.0,36747.0,675000.0,Working,Married,1,1
172.217.11.8-10.42.0.151-443-41145-6,100161,30,600,Cash loans,F,90000.0,370629.0,13972.5,306000.0,Commercial associate,Married,1,1
10.42.0.211-23.208.168.108-60793-443-6,100162,30,1640,Cash loans,F,112500.0,547344.0,18216.0,472500.0,Pensioner,Single / not married,1,1
172.217.10.46-10.42.0.151-443-35399-6,100163,31,1270,Cash loans,F,130500.0,550489.5,19773.0,454500.0,Working,Separated,0,0
172.217.12.131-10.42.0.151-443-34211-6,100164,30,1640,Cash loans,F,450000.0,407434.5,43362.0,387000.0,Commercial associate,Civil marriage,0,0
239.255.255.250-10.42.0.1-1900-35615-17,100165,28,250,Cash loans,F,175500.0,1293502.5,35568.0,1129500.0,Pensioner,Married,0,0
172.217.12.163-10.42.0.151-443-60319-6,100166,28,250,Cash loans,F,58500.0,152820.0,15241.5,135000.0,Working,Married,1,1
10.42.0.151-10.42.0.1-35115-53-17,100167,29,50,Cash loans,F,180000.0,427500.0,46170.0,427500.0,Commercial associate,Civil marriage,0,0
10.42.0.211-10.42.0.1-5268-53-17,100173,46,250,Cash loans,F,117000.0,781920.0,26725.5,675000.0,Working,Single / not married,1,1
172.217.10.46-10.42.0.151-443-36662-6,100174,31,1910,Revolving loans,F,180000.0,225000.0,11250.0,225000.0,Working,Married,0,0
10.42.0.211-23.21.51.186-53657-443-6,100175,28,5201,Cash loans,F,202500.0,1251072.0,45067.5,1080000.0,Working,Civil marriage,0,0
10.42.0.1-10.42.0.42-53-3110-17,100176,31,12187,Cash loans,F,135000.0,1078200.0,31653.0,900000.0,Working,Married,1,1
172.217.11.2-10.42.0.151-443-38793-6,100177,37,1590,Cash loans,M,112500.0,312682.5,33309.0,297000.0,Working,Civil marriage,0,0
180.149.138.210-10.42.0.42-80-46920-6,100178,34,1294,Cash loans,F,119250.0,679500.0,28917.0,679500.0,Working,Separated,1,1
172.217.11.35-10.42.0.151-443-46160-6,100179,25,3132,Cash loans,F,202500.0,675000.0,53329.5,675000.0,Commercial associate,Married,0,0
140.205.62.20-10.42.0.42-443-54679-6,100180,40,1340,Cash loans,F,315000.0,1288350.0,37800.0,1125000.0,Commercial associate,Married,1,1
10.42.0.211-52.84.29.154-52852-443-6,100181,43,4788,Cash loans,F,157500.0,245619.0,12667.5,166500.0,Working,Single / not married,0,0
10.42.0.211-31.13.71.36-38075-443-6,100182,36,3110,Revolving loans,F,112500.0,135000.0,6750.0,135000.0,Working,Separated,0,0
10.42.0.211-10.42.0.1-40877-53-17,100183,29,720,Cash loans,F,103500.0,239850.0,23494.5,225000.0,Pensioner,Separated,0,0
10.42.0.211-104.193.88.109-52193-80-6,100185,35,1100,Cash loans,M,58500.0,187704.0,10903.5,148500.0,Pensioner,Married,0,0
10.42.0.151-10.42.0.1-55783-53-17,100186,34,2586,Cash loans,F,117000.0,269550.0,13095.0,225000.0,Pensioner,Single / not married,0,0
10.42.0.211-123.125.29.138-51217-80-6,100188,32,1820,Cash loans,F,225000.0,1325475.0,56290.5,1125000.0,Working,Married,0,0
10.42.0.1-10.42.0.42-53-10025-17,100189,27,1397,Cash loans,F,135000.0,263844.0,14440.5,189000.0,Working,Separated,0,0
172.217.12.206-10.42.0.151-443-54164-6,100190,29,0,Cash loans,M,162000.0,263686.5,24781.5,238500.0,Commercial associate,Married,0,0
10.42.0.211-104.88.106.21-37650-80-6,100191,34,1370,Cash loans,F,112500.0,544491.0,17563.5,454500.0,Working,Separated,1,1
10.42.0.211-10.42.0.1-36278-53-17,100192,37,1235,Cash loans,F,111915.0,225000.0,21037.5,225000.0,Commercial associate,Single / not married,0,0
172.217.12.142-10.42.0.42-443-56977-6,100193,33,1090,Cash loans,F,225000.0,296280.0,15124.5,225000.0,Commercial associate,Separated,0,0
10.42.0.151-10.42.0.1-22877-53-17,100194,33,5180,Revolving loans,F,157500.0,315000.0,15750.0,315000.0,Working,Civil marriage,0,0
10.42.0.151-104.244.42.65-40442-443-6,100195,39,1280,Cash loans,M,90000.0,336150.0,9373.5,202500.0,Commercial associate,Single / not married,0,0
10.42.0.211-77.234.44.41-37566-80-6,100196,34,1430,Cash loans,F,164250.0,755190.0,32125.5,675000.0,Working,Married,0,0
10.42.0.211-104.192.110.245-33715-80-6,100197,32,1240,Cash loans,F,157500.0,497520.0,28692.0,450000.0,Working,Married,0,0
172.217.12.206-10.42.0.151-443-46815-6,100198,34,450,Cash loans,M,135000.0,531000.0,32616.0,531000.0,Working,Married,0,0
172.217.3.106-10.42.0.211-443-40854-6,100199,29,-2056,Cash loans,F,112500.0,269550.0,18891.0,225000.0,Working,Married,0,0
10.42.0.211-10.42.0.1-55547-53-17,100200,28,2272,Cash loans,F,216000.0,450000.0,27193.5,450000.0,Working,Widow,1,1
172.217.3.109-10.42.0.151-443-38761-6,100201,28,2370,Cash loans,F,180000.0,675000.0,36747.0,675000.0,Commercial associate,Single / not married,0,0
10.42.0.211-104.209.188.76-35758-443-6,100202,35,7082,Cash loans,F,67500.0,127350.0,6597.0,112500.0,Pensioner,Single / not married,1,1
192.229.163.180-10.42.0.211-443-41139-6,100203,40,1115,Cash loans,F,54000.0,119925.0,11097.0,112500.0,Pensioner,Widow,1,1
10.42.0.211-123.125.115.164-42498-443-6,100204,27,9105,Cash loans,F,81000.0,532494.0,30699.0,454500.0,Pensioner,Married,1,1
10.42.0.211-10.42.0.1-34350-53-17,100205,26,1551,Cash loans,F,63000.0,808650.0,26217.0,675000.0,Working,Married,0,0
172.217.12.170-10.42.0.42-443-43189-6,100206,43,4359,Cash loans,M,157500.0,318528.0,25294.5,252000.0,Commercial associate,Married,0,0
10.42.0.151-10.42.0.1-27682-53-17,100207,23,2095,Cash loans,F,157500.0,700830.0,22738.5,585000.0,Working,Civil marriage,1,1
10.42.0.211-52.84.134.149-53788-443-6,100208,29,2375,Cash loans,M,180000.0,888840.0,29016.0,675000.0,Commercial associate,Civil marriage,0,0
10.42.0.211-104.119.40.238-60340-443-6,100209,43,693,Revolving loans,M,180000.0,540000.0,27000.0,540000.0,Commercial associate,Married,1,1
10.42.0.211-69.147.82.60-38004-443-6,100210,27,1654,Cash loans,F,202500.0,771493.5,25627.5,666000.0,Working,Separated,0,0
172.217.3.35-10.42.0.211-443-52566-6,100211,26,250,Cash loans,M,225000.0,746280.0,49873.5,675000.0,Commercial associate,Married,0,0
10.42.0.1-10.42.0.42-53-15972-17,100213,31,250,Cash loans,F,49500.0,278460.0,19930.5,225000.0,Working,Married,0,0
10.42.0.42-104.192.110.245-36022-80-6,100214,40,1190,Cash loans,F,202500.0,436032.0,28516.5,360000.0,Commercial associate,Civil marriage,1,1
220.243.235.201-10.42.0.42-80-45827-6,100215,39,1540,Cash loans,F,90000.0,227520.0,8172.0,180000.0,Pensioner,Civil marriage,1,1
10.42.0.1-10.42.0.42-53-31950-17,100216,30,1250,Cash loans,F,90000.0,67500.0,6705.0,67500.0,Working,Married,0,0
151.101.21.140-10.42.0.211-443-56713-6,100217,47,3100,Cash loans,F,180000.0,254700.0,25321.5,225000.0,Working,Separated,0,0
172.217.10.142-10.42.0.211-443-34889-6,100218,34,600,Cash loans,M,337500.0,876078.0,49050.0,765000.0,Commercial associate,Single / not married,0,0
10.42.0.211-52.84.6.107-50535-443-6,100219,33,1782,Cash loans,M,315000.0,2250000.0,83515.5,2250000.0,Commercial associate,Married,1,1
222.73.28.96-10.42.0.211-80-48020-6,100220,41,1782,Cash loans,F,225000.0,1040985.0,30568.5,909000.0,Commercial associate,Single / not married,0,0
